module,section,screen_title,read_time_min,content_markdown
Security Awareness Essentials,Phishing and Social Engineering,Introduction,2,"Social engineering is the art of tricking people to bypass security. In this section, you’ll learn what it looks like across email, calls, texts, and in person—and how to respond safely."
Security Awareness Essentials,Phishing and Social Engineering,Key Concepts,5,"- Attack types: phishing (email), vishing (voice), smishing (SMS), pretexting, baiting, and tailgating.
- Human levers: urgency, authority, curiosity, fear, and helpfulness.
- Safe response: don’t click or reply; report and verify via trusted channels."
Security Awareness Essentials,Phishing and Social Engineering,Real-World Examples,8,"**Pair 1 — ""Bgs Security: You Have Messages In Quarantine"" → fake sign-in page**

![Bgs Security Quarantine Email](/phishing-examples/bgs-security-email.png)

**What it's doing**

It pretends to be an internal security/quarantine notification (""messages held in quarantine"" with a Release button) to lure you into clicking a ""Quarantine page"" link, then it takes you to a generic login form to steal credentials.

**Phishing indicators in the email**

Sender doesn't match the organization: ""Bgs IT Department"" is coming from …@atlassbio.com, not an official BGS domain.

External sender warning banner (""originated outside of the organization"") contradicts the claim it's an internal security notice.

Text/formatting errors and weird characters (e.g., ""ori=inated"", ""attach=ents"", ""held -or"", ""r=ceived"", odd copyright like ""©20=4"") are classic mass-phish artifacts.

Creates pressure/action: ""Review within 15 days"" + ""Release"" encourages clicking instead of verifying via the real security portal.

![Bgs Security Fake Login Page](/phishing-examples/bgs-security-website.png)

**Phishing indicators on the website**

Domain is wrong: it's hosted on …pages.dev (a free/static hosting platform) with a random-looking subdomain (enogp3wehr…) — not your company or Microsoft.

Generic credential-harvesting form: just ""Email / Password"" with ""Sign in"", no real corporate SSO flow, no legitimate branding/tenant info.

No normal trust signals: you'd expect a real quarantine workflow inside Microsoft 365 Defender/Quarantine or your company security portal, not a standalone login box.

**Pair 2 — ""Operations Authentication / Office365 password update"" → spoofed Microsoft login on a non-Microsoft domain**

![Office365 Password Update Email](/phishing-examples/office365-email.png)

**What it's doing**

It claims your Office 365 password must be updated ""today"" and pushes you to click Use Active Password. The link leads to a page imitating a Microsoft sign-in choice screen.

**Phishing indicators in the email**

Sender is a consumer email provider: message is from …@gmx.de while pretending to be ""Airexplore Service"" / ""Office365"".

The email asks you to take an account/security action via a link. Real password expiry notices typically direct you to your known internal/password portal, and they don't use odd CTAs like ""Use Active Password"".

Grammar/spacing issues (""due for update today"", extra spaces before punctuation) are common in phishing kits.

External sender banner again conflicts with ""created by your IT department"" style messaging.

![Office365 Fake Microsoft Login](/phishing-examples/office365-website.png)

**Phishing indicators on the website**

Domain mismatch (biggest red flag): the browser shows plast.toys.up-plastic.com/.../oauth2/... — this is not a Microsoft domain (you'd expect login.microsoftonline.com, microsoft.com, etc.).

""Looks like Microsoft"" is not proof: attackers often copy Microsoft pages or simulate OAuth-looking URLs to appear legitimate.

Suspicious URL structure: using Microsoft-like path fragments (e.g., /oauth2/.../authorize) on a random domain is a common trick to fool quick checks.

**Pair 3 — ""Encrypted message / ACH transfer awaiting your review"" (ShareFile pretext) → fake ""Webmail Portal Access"" on r2.dev**

![ShareFile Encrypted Message Email](/phishing-examples/sharefile-email.png)

**What it's doing**

It pretends you received a secure encrypted message about a financial transfer and must click View Your Message, then it tries to capture your email credentials on a fake ""webmail"" login page.

**Phishing indicators in the email**

High-pressure finance lure: ""ACH/EFT transfer received… awaiting your review"" is designed to trigger urgency and curiosity.

""Encrypted message / view message"" pattern is commonly abused because it plausibly requires a login.

Brand mismatch risk: it claims ""Powered by Citrix ShareFile 2024"", but phishers frequently copy that style while hosting the link elsewhere (not on Citrix/ShareFile domains).

External sender banner + unusual ""via"" sender naming can indicate spoofing/relaying.

![Fake Webmail Portal Login](/phishing-examples/sharefile-website.png)

**Phishing indicators on the website**

Hosted on …r2.dev: that's Cloudflare R2 object storage/public hosting, not a real webmail or ShareFile/Microsoft login domain.

Broken template placeholder is a smoking gun: the email field shows %7BRECIPIENT_EMAIL%7D (URL-encoded {RECIPIENT_EMAIL}), meaning this is a sloppy phishing kit that failed to personalize properly.

Generic login box + scary error message: ""That account doesn't exist. Enter a different account"" is often used to force retries and harvest credentials."
Security Awareness Essentials,Phishing and Social Engineering,Summary,2,"- Social engineering targets people—not systems.
- Expect urgency or secrecy; verify independently.
- Report suspicious messages using the official phishing/report button."
Security Awareness Essentials,Passwords and MFA,Introduction,2,"Strong, unique passwords plus multi-factor authentication (MFA) stop most account takeovers. Here’s how to do it right."
Security Awareness Essentials,Passwords and MFA,Key Concepts,5,"- Use long, unique passphrases; store them in a password manager.
- MFA hierarchy: strongest → FIDO2/WebAuthn keys; then authenticator apps; push/SMS are weaker.
- Watch for password reuse, password spraying, and MFA “push” fatigue."
Security Awareness Essentials,Passwords and MFA,Real-World Examples,4,"**Credential stuffing:** Your old forum password unlocks your work email. **Action:** Use unique passwords and enable MFA everywhere.

**Unexpected MFA prompt:** You get a login approval you didn’t start. **Action:** Deny it, change your password, and report.

**Weak policy:** “Change every 30 days” with short passwords. **Action:** Prefer long passphrases; change only on compromise."
Security Awareness Essentials,Passwords and MFA,Summary,2,"- Length + uniqueness beat frequent forced changes.
- FIDO2 keys are most phishing-resistant.
- If a password may be exposed: change it, kill active sessions, enable MFA."
Security Awareness Essentials,Ransomware,Introduction,2,Ransomware locks (and often steals) data to extort payment. Prevention and fast containment are critical.
Security Awareness Essentials,Ransomware,Key Concepts,5,"- Initial access: phishing, exposed RDP/VPN, stolen creds, unpatched systems.
- Defense-in-depth: least privilege, patching, EDR, segmentation, and tested backups (3-2-1 with an offline copy).
- “Double extortion”: attackers both encrypt and exfiltrate data."
