id,created_at,question_type,module,section,question,options,correct_answer,explanation
Q001,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Which scenario BEST illustrates pretexting?,"[""An attacker leaves infected USB drives in the lobby."", ""An attacker poses as IT to ask for a password reset."", ""An attacker offers a reward for clicking a link.""]",An attacker poses as IT to ask for a password reset.,"Pretexting builds a believable story (e.g., 'IT support') to elicit information."
Q002,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Tailgating is primarily a threat to which security area?,"[""Physical security"", ""Network security"", ""Application security""]",Physical security,Tailgating exploits physical access controls by following an authorized person through a door.
Q003,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Baiting often relies on which human tendency?,"[""Curiosity"", ""Fear"", ""Laziness""]",Curiosity,"Baiting lures victims (e.g., 'Confidential_Salaries.xlsx') to interact with a malicious item."
Q004,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,A ‘vishing’ attack uses which channel?,"[""Email"", ""Phone/voice"", ""Text messaging""]",Phone/voice,Vishing = voice phishing.
Q005,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Which is the safest immediate action after receiving a suspicious email?,"[""Reply to ask if it’s legitimate"", ""Click the link to check the page"", ""Report it using the phishing button""]",Report it using the phishing button,Use the official reporting mechanism rather than engaging with the sender or links.
Q006,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Social engineering primarily targets what?,"[""Software vulnerabilities"", ""Human behavior"", ""Network hardware""]",Human behavior,It manipulates people to bypass technical controls.
Q007,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Which is a sign of social engineering on a phone call?,"[""The caller offers to follow up via ticketing system"", ""The caller pressures you to act immediately"", ""The caller verifies your identity through MFA""]",The caller pressures you to act immediately,Urgency is a classic manipulation tactic.
Q008,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Smishing refers to phishing attempts delivered via:,"[""SMS/text messages"", ""Social media DMs"", ""Fax""]",SMS/text messages,Smishing = SMS-based phishing.
Q009,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,What should you share with an unknown caller claiming to be from your bank?,"[""Your full card number"", ""One-time password (OTP)"", ""Nothing—call the bank back via official number""]",Nothing—call the bank back via official number,Never share sensitive data; independently verify via official channels.
Q010,2025-08-19T13:01:30.166069Z,multiple_choice,Module 1: Security Awareness Essentials,Section 1: Phishing and Social Engineering,Which is the BEST defense against social engineering?,"[""Complex firewalls only"", ""Security awareness and verification"", ""Relying on antivirus""]",Security awareness and verification,Human vigilance and verification procedures are critical.
